time,temperature_2m,wind_speed_10m,hour,price
2025-01-09 08:00:00,-0.6,2.0,8,156.15
2025-01-09 09:00:00,0.3,4.6,9,147.64
2025-01-09 10:00:00,0.9,2.3,10,140.21
2025-01-09 11:00:00,1.0,2.6,11,128.18
2025-01-09 12:00:00,1.1,3.8,12,121.15
2025-01-09 13:00:00,0.9,4.3,13,123.95
2025-01-09 14:00:00,1.1,7.5,14,127.53
2025-01-09 15:00:00,1.0,7.8,15,123.75
2025-01-09 16:00:00,1.1,9.8,16,130.91
2025-01-09 17:00:00,1.3,10.9,17,134.75
2025-01-09 18:00:00,1.3,12.0,18,125.44
2025-01-09 19:00:00,1.2,12.5,19,119.23
2025-01-09 20:00:00,1.0,13.3,20,104.99
2025-01-09 21:00:00,0.8,13.7,21,101.1
2025-01-09 22:00:00,0.7,14.3,22,88.19
2025-01-09 23:00:00,0.4,15.6,23,84.79
2025-01-10 00:00:00,0.5,13.8,0,80.23
2025-01-10 01:00:00,0.6,16.7,1,71.29
2025-01-10 02:00:00,0.3,16.1,2,69.05
2025-01-10 03:00:00,0.3,16.3,3,69.89
2025-01-10 04:00:00,0.9,17.2,4,83.9
2025-01-10 05:00:00,1.1,17.0,5,99.09
2025-01-10 06:00:00,0.7,17.0,6,123.92
2025-01-10 07:00:00,1.0,17.2,7,139.47
2025-01-10 08:00:00,1.4,17.5,8,136.92
2025-01-10 09:00:00,1.8,17.7,9,123.57
2025-01-10 10:00:00,1.8,13.5,10,113.59
2025-01-10 11:00:00,2.1,11.9,11,107.43
2025-01-10 12:00:00,2.3,10.2,12,105.01
2025-01-10 13:00:00,2.4,9.4,13,110.01
2025-01-10 14:00:00,2.1,9.3,14,128.69
2025-01-10 15:00:00,1.4,9.9,15,134.87
2025-01-10 16:00:00,0.5,10.8,16,142.56
2025-01-10 17:00:00,-0.3,11.1,17,144.12
2025-01-10 18:00:00,-0.4,11.5,18,141.05
2025-01-10 19:00:00,-0.3,12.4,19,134.82
2025-01-10 20:00:00,-0.4,13.3,20,122.51
2025-01-10 21:00:00,-0.5,12.8,21,119.77
2025-01-10 22:00:00,-0.4,11.4,22,111.71
2025-01-10 23:00:00,-0.5,12.7,23,106.64
2025-01-11 00:00:00,-1.3,13.0,0,98.99
2025-01-11 01:00:00,-1.0,14.1,1,95.71
2025-01-11 02:00:00,-1.5,13.9,2,89.45
2025-01-11 03:00:00,-1.5,14.3,3,88.35
2025-01-11 04:00:00,-1.5,15.0,4,88.4
2025-01-11 05:00:00,-1.3,15.2,5,88.13
2025-01-11 06:00:00,-1.3,14.9,6,94.68
2025-01-11 07:00:00,-1.4,13.9,7,107.65
2025-01-11 08:00:00,-1.4,13.8,8,103.14
2025-01-11 09:00:00,-0.7,14.3,9,101.13
2025-01-11 10:00:00,0.2,11.7,10,99.56
2025-01-11 11:00:00,1.0,14.8,11,96.74
2025-01-11 12:00:00,1.4,17.3,12,93.15
2025-01-11 13:00:00,1.7,20.5,13,94.9
2025-01-11 14:00:00,1.5,19.4,14,104.89
2025-01-11 15:00:00,0.7,18.2,15,112.12
2025-01-11 16:00:00,0.0,17.1,16,119.8
2025-01-11 17:00:00,-0.4,17.0,17,122.34
2025-01-11 18:00:00,-0.5,16.3,18,114.85
2025-01-11 19:00:00,-0.5,15.7,19,111.19
2025-01-11 20:00:00,-0.7,15.6,20,104.8
2025-01-11 21:00:00,-0.9,15.4,21,103.07
2025-01-11 22:00:00,-1.0,14.6,22,105.69
2025-01-11 23:00:00,-1.2,13.5,23,83.58
2025-01-12 00:00:00,-1.4,13.0,0,83.79
2025-01-12 01:00:00,-1.3,12.9,1,86.75
2025-01-12 02:00:00,-1.7,12.4,2,84.2
2025-01-12 03:00:00,-1.9,12.0,3,85.0
2025-01-12 04:00:00,-2.1,12.4,4,83.75
2025-01-12 05:00:00,-2.1,12.5,5,85.9
2025-01-12 06:00:00,-2.2,12.1,6,101.75
2025-01-12 07:00:00,-2.0,11.5,7,114.67
2025-01-12 08:00:00,-1.9,11.1,8,120.07
2025-01-12 09:00:00,-1.3,8.6,9,117.77
2025-01-12 10:00:00,-0.4,9.7,10,105.61
2025-01-12 11:00:00,0.4,9.6,11,102.99
2025-01-12 12:00:00,1.0,9.5,12,99.61
2025-01-12 13:00:00,1.5,10.0,13,104.74
2025-01-12 14:00:00,1.3,10.0,14,118.7
2025-01-12 15:00:00,0.3,7.9,15,132.92
2025-01-12 16:00:00,-0.7,7.1,16,141.0
2025-01-12 17:00:00,-1.1,7.4,17,146.66
2025-01-12 18:00:00,-1.7,6.1,18,143.66
2025-01-12 19:00:00,-1.9,6.3,19,134.86
2025-01-12 20:00:00,-2.3,5.2,20,127.49
2025-01-12 21:00:00,-2.6,4.4,21,121.2
2025-01-12 22:00:00,-2.9,3.9,22,114.9
2025-01-12 23:00:00,-3.1,3.2,23,112.39
2025-01-13 00:00:00,-3.3,0.4,0,105.07
2025-01-13 01:00:00,-4.2,1.2,1,104.46
2025-01-13 02:00:00,-4.7,4.4,2,100.37
2025-01-13 03:00:00,-4.8,4.8,3,100.0
2025-01-13 04:00:00,-5.1,4.0,4,110.11
2025-01-13 05:00:00,-5.2,4.4,5,140.28
2025-01-13 06:00:00,-5.1,4.8,6,181.92
2025-01-13 07:00:00,-6.0,4.8,7,223.09
2025-01-13 08:00:00,-5.1,5.8,8,174.09
